episode,reward,length
948,0.0,256
949,0.0,61
950,0.0,16
951,0.0,33
952,0.0,54
953,0.0,2
954,0.817187,52
955,0.0,41
956,0.0,36
957,0.0,255
958,0.0,90
959,0.0,53
960,0.0,20
961,0.0,7
962,0.0,5
963,0.0,82
964,0.0,256
965,0.0,139
966,0.0,61
967,0.0,78
968,0.0,77
969,0.0,48
970,0.0,4
971,0.0,117
972,0.0,24
973,0.0,182
974,0.0,51
975,0.0,69
976,0.0,110
977,0.0,104
978,0.0,18
979,0.0,104
980,0.0,256
981,0.0,16
982,0.0,2
983,0.0,47
984,0.0,62
985,0.0,169
986,0.0,71
987,0.0,33
988,0.0,48
989,0.0,27
990,0.0,141
991,0.0,29
992,0.0,140
993,0.0,53
994,0.0,119
995,0.0,50
996,0.0,34
997,0.0,33
998,0.0,139
999,0.0,196
1000,0.0,216
1001,0.0,256
1002,0.0,94
1003,0.0,256
1004,0.0,70
1005,0.0,20
1006,0.0,28
1007,0.0,5
1008,0.0,166
1009,0.0,67
1010,0.0,35
1011,0.0,88
1012,0.0,25
1013,0.0,69
1014,0.0,10
1015,0.0,35
1016,0.901563,28
1017,0.0,48
1018,0.0,32
1019,0.0,9
1020,0.0,5
1021,0.0,31
1022,0.0,18
1023,0.0,18
1024,0.0,59
1025,0.0,16
1026,0.0,39
1027,0.0,17
1028,0.0,96
1029,0.0,135
1030,0.0,81
1031,0.0,91
1032,0.933203,19
1033,0.0,112
1034,0.0,6
1035,0.0,124
1036,0.0,125
1037,0.0,30
1038,0.0,229
1039,0.0,65
1040,0.0,4
1041,0.0,113
1042,0.0,256
1043,0.0,60
1044,0.0,32
1045,0.0,199
1046,0.0,16
1047,0.0,73
1048,0.0,28
1049,0.0,25
1050,0.0,34
1051,0.0,87
1052,0.0,47
1053,0.0,105
1054,0.0,15
1055,0.0,10
1056,0.0,185
1057,0.0,54
1058,0.0,2
1059,0.0,70
1060,0.0,62
1061,0.0,140
1062,0.0,256
1063,0.0,218
1064,0.0,4
1065,0.0,10
1066,0.0,48
1067,0.0,68
1068,0.0,245
1069,0.0,47
1070,0.0,40
1071,0.0,14
1072,0.0,55
1073,0.0,26
1074,0.0,22
1075,0.0,4
1076,0.0,55
1077,0.0,24
1078,0.0,95
1079,0.0,118
1080,0.0,29
1081,0.0,37
1082,0.0,42
1083,0.0,96
1084,0.0,256
1085,0.0,48
1086,0.0,36
1087,0.785547,61
1088,0.0,10
1089,0.0,25
1090,0.0,24
1091,0.0,3
1092,0.0,109
1093,0.0,34
1094,0.0,29
1095,0.0,2
1096,0.0,9
1097,0.0,87
1098,0.0,44
1099,0.0,104
1100,0.0,143
1101,0.0,61
1102,0.0,152
